episode: 0, gamma:18, best reward so far: -88.2134, best reward of the current generation: -88.2134, sigma: 0.050, time_generation: 43.86, rollout_time: 43.27, eval_time: 0.59
episode: 0, gamma:1, current testing reward: -493.6140, current testing VM_cost: 408.5120, current testing SLA_penalty: 85.1020, current testing_time: 3.99

episode: 1, gamma:18, best reward so far: -58.3049, best reward of the current generation: -58.3049, sigma: 0.050, time_generation: 47.87, rollout_time: 47.73, eval_time: 0.14

episode: 2, gamma:18, best reward so far: -47.5947, best reward of the current generation: -47.5947, sigma: 0.050, time_generation: 83.18, rollout_time: 82.78, eval_time: 0.37

episode: 3, gamma:18, best reward so far: -47.5947, best reward of the current generation: -152.5406, sigma: 0.050, time_generation: 73.79, rollout_time: 73.61, eval_time: 0.15

episode: 4, gamma:18, best reward so far: -45.7484, best reward of the current generation: -45.7484, sigma: 0.050, time_generation: 36.98, rollout_time: 36.85, eval_time: 0.12

episode: 5, gamma:18, best reward so far: -44.5899, best reward of the current generation: -44.5899, sigma: 0.050, time_generation: 55.85, rollout_time: 55.68, eval_time: 0.15

episode: 6, gamma:18, best reward so far: -44.5899, best reward of the current generation: -47.8732, sigma: 0.050, time_generation: 46.54, rollout_time: 46.34, eval_time: 0.19

episode: 7, gamma:18, best reward so far: -44.5899, best reward of the current generation: -72.3650, sigma: 0.050, time_generation: 59.31, rollout_time: 59.09, eval_time: 0.21

episode: 8, gamma:18, best reward so far: -32.6368, best reward of the current generation: -32.6368, sigma: 0.050, time_generation: 55.03, rollout_time: 53.64, eval_time: 1.39

episode: 9, gamma:18, best reward so far: -32.6368, best reward of the current generation: -75.0080, sigma: 0.050, time_generation: 38.87, rollout_time: 38.77, eval_time: 0.10

episode: 10, gamma:18, best reward so far: -32.6368, best reward of the current generation: -39.3250, sigma: 0.050, time_generation: 34.99, rollout_time: 34.91, eval_time: 0.08

episode: 11, gamma:18, best reward so far: -32.6368, best reward of the current generation: -76.4237, sigma: 0.050, time_generation: 30.74, rollout_time: 30.66, eval_time: 0.06

